Id;Address;Longitude;Latitude;CenterDistance;Station;StationDistance;District;Cena;LnCena;CenaM;Nkomnat;Elit;PlOb;LnPlOb;PlZ;LnPlZ;PlK;LnPlK;ketaz;Type;God;Tel;Bal
47;Щербакова, 4/2;27,609262;53,883707;3727;Тракторный завод;787;Партизанский;45000;10,7144177688;1376;1;2;32,7;3,4873750779;17,2;2,8449093838;6,2;1,8245492921;1;0;1970;1;0
48;Лермонтова, 49;27,512325;53,894697;3352;Молодёжная;1508;Московский;41000;10,6213273457;1362;1;2;30,1;3,4045251718;17,6;2,867898902;6;1,7917594692;1;0;1962;1;1
49;Асаналиева, 2;27,555004;53,852542;5545;Институт Культуры;3846;Октябрьский;45000;10,7144177688;1216;1;2;37;3,6109179126;17,6;2,867898902;8,1;2,0918640617;0;0;1982;0;1
50;Асаналиева, 2;27,555004;53,852542;5545;Институт Культуры;3846;Октябрьский;45000;10,7144177688;1216;1;2;37;3,6109179126;17,6;2,867898902;8,1;2,0918640617;0;0;1982;0;1
51;пр-т Газ-ты Правда, 46;27,474335;53,861771;7289;Кунцевщина;5089;Московский;55000;10,9150884642;1421;1;2;38,7;3,6558396;17,9;2,8848007128;8,6;2,1517622033;0;0;1998;1;1
52;Лынькова, 15/а;27,488888;53,927257;5525;Пушкинская;2055;Фрунзенский;55000;10,9150884642;1279;1;0;43;3,7612001157;17,9;2,8848007128;9,1;2,2082744135;0;0;1997;1;1
53;Крупской, 23;27,623806;53,859488;6250;Партизанская;1804;Заводской;60000;11,0020998412;1333;1;2;45;3,8066624898;18;2,8903717579;10,4;2,3418058061;0;1;2008;1;1
54;Варвашени, 8/1;27,673258;53,865685;8352;Могилёвская;435;Заводской;41000;10,6213273457;1206;1;2;34;3,5263605246;18;2,8903717579;7;1,9459101491;0;1;1970;1;1
55;Байкальская, 64;27,683418;53,865011;8974;Могилёвская;714;Заводской;39000;10,5713169251;1219;1;2;32;3,4657359028;18;2,8903717579;6,2;1,8245492921;1;0;1970;1;1
56;Одесская, 6;27,654798;53,869093;7116;Автозаводская;439;Заводской;58000;10,9681982895;1289;1;2;45;3,8066624898;18;2,8903717579;9;2,1972245773;0;0;2010;0;1
57;Я.Лучины, 8;27,568371;53,838379;7113;Институт Культуры;5607;Ленинский;59000;10,9852927229;1372;1;2;43;3,7612001157;18;2,8903717579;10;2,302585093;0;0;2004;1;1
58;Малинина, 8;27,620904;53,85585;6447;Партизанская;2241;Ленинский;49000;10,7995755771;1289;1;2;38;3,6375861597;18;2,8903717579;8;2,0794415417;1;0;1988;1;1
59;Малинина, 8;27,620904;53,85585;6447;Партизанская;2241;Ленинский;52000;10,8589989976;1405;1;2;37;3,6109179126;18;2,8903717579;7;1,9459101491;0;0;1988;1;1
60;Плеханова, 58/3;27,593065;53,864049;4714;Партизанская;2705;Ленинский;57000;10,9508065468;1500;1;2;38;3,6375861597;18;2,8903717579;7;1,9459101491;1;0;1983;0;1
61;Волоха, 53;27,509504;53,89423;3543;Молодёжная;1650;Московский;34000;10,4341158036;1133;1;2;30;3,4011973817;18;2,8903717579;6;1,7917594692;1;0;1963;1;0
62;Пуховичская, 18;27,549964;53,8497;5894;Институт Культуры;4089;Октябрьский;42500;10,6572593549;1328;1;2;32;3,4657359028;18;2,8903717579;6,4;1,8562979904;0;1;1968;1;1
63;пл. Независимости, 155/1;27,547242;53,895509;1218;Площадь Ленина;228;Первомайский;65000;11,0821425489;1776;1;2;36,6;3,6000482404;18;2,8903717579;9;2,1972245773;0;0;1980;1;0
64;Филимонова, 14;27,63534;53,910808;4902;Московская;1988;Первомайский;63000;11,0508900054;1416;1;2;44,5;3,7954891892;18;2,8903717579;9,2;2,2192034841;0;0;2004;1;1
65;Матусевича, 32;27,475233;53,916732;5894;Спортивная;1003;Фрунзенский;47500;10,76848499;1357;1;0;35;3,5553480615;18;2,8903717579;7,5;2,0149030205;0;0;1973;0;0
66;Д.Сердича, 74;27,489364;53,920937;5179;Пушкинская;1379;Фрунзенский;43000;10,6689553947;1254;1;0;34,3;3,5351453542;18;2,8903717579;6;1,7917594692;0;1;1973;1;1
67;Одоевского, 109;27,483552;53,901164;5129;Спортивная;815;Фрунзенский;52000;10,8589989976;1486;1;0;35;3,5553480615;18;2,8903717579;7,5;2,0149030205;0;0;1971;1;0
68;Шаранговича, 59-2;27,43516;53,879896;8663;Каменная Горка;2971;Фрунзенский;56500;10,9419959171;1256;1;0;45;3,8066624898;18;2,8903717579;9,5;2,2512917986;0;0;2003;1;1
69;Карастояновой, 25;27,564526;53,936073;3760;Площадь Якуба Коласа;2568;Центральный;55000;10,9150884642;1618;1;2;34;3,5263605246;18;2,8903717579;7;1,9459101491;1;0;1970;1;0
70;Орловская, 31;27,553072;53,931949;3347;Площадь Якуба Коласа;2684;Центральный;43000;10,6689553947;1433;1;2;30;3,4011973817;18;2,8903717579;6;1,7917594692;1;1;1969;1;1
71;Каростояновой, 25;27,564526;53,936073;3760;Площадь Якуба Коласа;2568;Центральный;55000;10,9150884642;1618;1;2;34;3,5263605246;18;2,8903717579;7;1,9459101491;1;0;1970;1;0
72;Филимонова, 8;27,633256;53,90867;4727;Парк Челюскинцев;2178;Партизанский;63000;11,0508900054;1370;1;2;46;3,8286413965;18;2,8903717579;9;2,1972245773;0;0;2000;0;0
73;пр-т Независимости, 155/1;27,650863;53,935124;6874;Восток;60;Первомайский;63000;11,0508900054;1721;1;2;36,6;3,6000482404;18;2,8903717579;9;2,1972245773;0;0;1980;1;1
74;Филимонова, 55/3;27,638332;53,925248;5618;Московская;778;Первомайский;60000;11,0020998412;1415;1;2;42,4;3,7471483622;18,2;2,9014215941;9,5;2,2512917986;0;1;2005;0;1
75;Натуралистов, 5;27,616413;53,928842;4632;Парк Челюскинцев;549;Первомайский;49000;10,7995755771;1541;1;2;31,8;3,4594662898;18,9;2,9391619221;5,7;1,7404661748;0;0;1963;1;0
76;Карбышева, 38;27,639176;53,949752;7309;Восток;1855;Первомайский;38000;10,5453414387;1166;1;2;32,6;3,4843122884;18,9;2,9391619221;6,1;1,8082887712;0;1;1967;1;1
77;Уборевича, 38;27,643856;53,843081;8492;Могилёвская;2868;Заводской;47000;10,7579028807;1424;1;2;33;3,4965075615;19;2,9444389792;6;1,7917594692;0;1;1972;1;1
78;пр-т Рокоссовского, 112;27,606585;53,856764;5844;Партизанская;2559;Ленинский;48000;10,7789562899;1333;1;2;36;3,5835189385;19;2,9444389792;6,5;1,8718021769;1;1;1978;1;1
79;Маяковского, 103;27,573931;53,864644;4256;Пролетарская;2981;Ленинский;84000;11,3385720778;1292;2;2;65;4,1743872699;19;2,9444389792;41;3,7135720667;0;0;2009;0;1
80;Кальварийская, 2;27,540182;53,905748;1471;Фрунзенская;68;Московский;65000;11,0821425489;2031;1;2;32;3,4657359028;19;2,9444389792;6,2;1,8245492921;0;1;1900;1;1
81;Кольцова, 12/2;27,609918;53,953212;6475;Московская;3019;Советский;46000;10,7363966755;1394;1;2;33;3,4965075615;19;2,9444389792;6;1,7917594692;1;1;1970;1;1
82;пр-т Машерова, 18;27,573294;53,915756;1674;Площадь Якуба Коласа;685;Советский;49000;10,7995755771;1531;1;2;32;3,4657359028;19;2,9444389792;5,8;1,7578579176;0;0;1967;1;1
