id,Address,Longitude,Latitude,CenterDistance,Station,StationDistance
148,"Маяковского, 158",27.57023,53.865871,4082,Пролетарская,2932
149,"Железнодорожная, 126/б",27.503162,53.876212,4814,Институт Культуры,2670
150,"Уманская, 65",27.501428,53.874832,4997,Институт Культуры,2838
151,"Калиновского, 91",27.638637,53.944696,6889,Восток,1386
152,"Кедышко, 12",27.619745,53.929749,4865,Московская,538
153,"Берута, 6",27.500629,53.907254,4047,Пушкинская,328
154,"Воронянского, 21",27.551096,53.878102,2777,Институт Культуры,1130
155,"пр-т Рокоссовского, 73",27.606199,53.865605,5004,Партизанская,1879
156,"Волоха, 15",27.518631,53.896299,2908,Молодёжная,1183
157,"пер. Вузовский, 16",27.561391,53.882364,2213,Первомайская,1416
158,"пер. Козлова, 22",27.598644,53.900236,2418,Пролетарская,1341
159,"Калиновского, 18",27.635933,53.94237,6583,Восток,1315
160,"50 лет Победы, 11",27.715515,53.947632,11247,Уручье,1835
161,"Дунина-Марцинкевича, 4/2",27.487603,53.905955,4879,Спортивная,519
162,"Тимирязева, 86",27.484226,53.931689,6042,Спортивная,2607
163,"Лермонтова, 20/а",27.517059,53.889523,3259,Институт Культуры,1574
164,"Прушинских, 46",27.577704,53.835994,7438,Партизанская,5542
165,"Аэродромная, 5",27.537711,53.873845,3533,Институт Культуры,1368
166,"Одинцова, 23/1",27.447287,53.8983,7515,Кунцевщина,970
167,"Брестская, 68/3",27.519287,53.853179,6128,Институт Культуры,3905
168,"Лынькова, 43",27.476761,53.92898,6312,Спортивная,2311
169,"Щербакова, 24",27.605058,53.886345,3336,Тракторный завод,739
170,"Лермонтова, 24",27.515352,53.89025,3326,Институт Культуры,1702
171,"Цнянская, 25",27.584666,53.925969,3026,Академия наук,1033
172,"Семенова, 26",27.577426,53.870686,3655,Пролетарская,2273
173,М.Богдановича,27.57474,53.929129,3101,Площадь Якуба Коласа,1581
174,"Рыбалко, 8",27.595635,53.886568,2817,Пролетарская,714
175,"пр-т Рокоссовского, 110",27.606711,53.85738,5789,Партизанская,2499
176,"Есенина, 39",27.444331,53.855139,9312,Кунцевщина,5690
177,"Серова, 31",27.552803,53.850688,5763,Институт Культуры,4014
178,"Кнорина, 8/а",27.612541,53.932119,4690,Парк Челюскинцев,871
179,"Филимонова, 47/а",27.635709,53.923318,5369,Московская,756
