N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God
97,Заводской,54000,10.89673933,1360,2,39.7,3.681351188,23.7,3.165475048,7.2,1.974081026,1,0,1983
98,Советский,54900,10.91326863,1366,2,40.2,3.693866996,23.7,3.165475048,6.2,1.824549292,1,1,1969
100,Ленинский,53000,10.87804719,1359,2,39,3.663561646,24,3.17805383,6.2,1.824549292,1,0,1988
101,Первомайский,53700,10.89116828,1377,2,39,3.663561646,24,3.17805383,6.2,1.824549292,0,0,1976
102,Первомайский,55000,10.91508846,1447,2,38,3.63758616,24.2,3.186352633,5.7,1.740466175,1,1,1956
103,Партизанский,64000,11.06663836,1684,1,38,3.63758616,24.6,3.202746443,-,4.624972813,0,1,2004
106,Ленинский,47000,10.75790288,603,2,78,4.356708827,25,3.218875825,11,2.397895273,0,1,1990
107,Партизанский,65000,11.08214255,1625,2,40,3.688879454,25,3.218875825,5,1.609437912,1,1,1967
108,Первомайский,75000,11.22524339,1645,2,45.6,3.819907717,25,3.218875825,8,2.079441542,0,1,1969
109,Первомайский,54000,10.89673933,1317,2,41,3.713572067,25,3.218875825,6,1.791759469,1,0,1968
110,Первомайский,54000,10.89673933,1317,2,41,3.713572067,25.5,3.238678452,6.3,1.840549633,0,0,1978
111,Заводской,48000,10.77895629,1171,2,41,3.713572067,26,3.258096538,2,0.693147181,1,0,1964
112,Московский,71000,11.17043516,1690,2,42,3.737669618,26,3.258096538,6.4,1.85629799,0,1,1961
113,Октябрьский,54000,10.89673933,1317,2,41,3.713572067,26,3.258096538,6,1.791759469,0,1,1967
115,Первомайский,53800,10.89302875,1312,2,41,3.713572067,26.2,3.265759411,6,1.791759469,1,0,1964
116,Заводской,45000,10.71441777,1184,2,38,3.63758616,27,3.295836866,5,1.609437912,1,1,1958
117,Заводской,50000,10.81977828,1163,2,43,3.761200116,27,3.295836866,6,1.791759469,1,1,1957
118,Московский,55000,10.91508846,1279,2,43,3.761200116,27,3.295836866,6,1.791759469,0,0,1964
121,Фрунзенский,54900,10.91326863,1177,2,46.66,3.842887267,27.01,3.296207168,9.11,2.209372711,1,0,1984
122,Первомайский,131000,11.7829526,1650,1,79.4,4.374498368,27.7,3.321432413,17.1,2.839078464,0,1,2009
123,Заводской,50000,10.81977828,1064,2,47,3.850147602,28,3.33220451,7.2,1.974081026,0,0,1990
124,Заводской,50000,10.81977828,1087,2,46,3.828641396,28,3.33220451,6,1.791759469,1,0,1966
125,Заводской,76500,11.24504602,1471,2,52,3.951243719,28,3.33220451,9.33,2.233235015,0,0,1978
