N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God,Address,Longitude,Latitude,CenterDistance,Station,StationDistance,LnCenterDistance,LnStationDistance
106,Ленинский,47000,10.75790288,603,2,78,4.356708827,25,3.218875825,11,2.397895273,0,1,1990,"пр-т газ-ты Известия, 15",27.484621,53.866402,6441,Институт Культуры,4254,8.77043908654689,8.355614995760183
107,Партизанский,65000,11.08214255,1625,2,40,3.688879454,25,3.218875825,5,1.609437912,1,1,1967,"пер. Броневой, 12",27.582034,53.906029,1384,Площадь Победы,571,7.232733136177615,6.3473892096560105
108,Первомайский,75000,11.22524339,1645,2,45.6,3.819907717,25,3.218875825,8,2.079441542,0,1,1969,"Калиновского, 101",27.641233,53.943419,6919,Восток,1173,8.842026529498812,7.067319848653476
109,Первомайский,54000,10.89673933,1317,2,41,3.713572067,25,3.218875825,6,1.791759469,1,0,1968,"Славинского, 7/2",27.635205,53.941002,6446,Восток,1259,8.771215062375383,7.138073034044347
110,Первомайский,54000,10.89673933,1317,2,41,3.713572067,25.5,3.238678452,6.3,1.840549633,0,0,1978,"Калиновского, 97",27.640245,53.944532,6954,Восток,1312,8.847072312567807,7.179307969504034
111,Заводской,48000,10.77895629,1171,2,41,3.713572067,26,3.258096538,2,0.693147181,1,0,1964,"Шабаны, 3",27.692096,53.835096,11338,Могилёвская,3196,9.33591519488425,8.069655306886165
112,Московский,71000,11.17043516,1690,2,42,3.737669618,26,3.258096538,6.4,1.85629799,0,1,1961,"Короля, 17",27.539939,53.90317,1439,Фрунзенская,252,7.271703706887368,5.529429087511423
113,Октябрьский,54000,10.89673933,1317,2,41,3.713572067,26,3.258096538,6,1.791759469,0,1,1967,"Брилевская, 17",27.530911,53.875384,3611,Институт Культуры,1337,8.191740021277457,7.198183577101943
115,Первомайский,53800,10.89302875,1312,2,41,3.713572067,26.2,3.265759411,6,1.791759469,1,0,1964,"Волгоградская, 49",27.611526,53.936455,4999,Парк Челюскинцев,1356,8.51699317141357,7.212294468500341
116,Заводской,45000,10.71441777,1184,2,38,3.63758616,27,3.295836866,5,1.609437912,1,1,1958,"Грекова, 3",27.627471,53.867177,5803,Партизанская,919,8.666130304190608,6.823286122355687
117,Заводской,50000,10.81977828,1163,2,43,3.761200116,27,3.295836866,6,1.791759469,1,1,1957,"Челюскинцев, 5",27.653944,53.86869,7092,Автозаводская,383,8.866722667194098,5.948034989180646
118,Московский,55000,10.91508846,1279,2,43,3.761200116,27,3.295836866,6,1.791759469,0,0,1964,"Уманская, 59",27.500377,53.875597,5001,Институт Культуры,2865,8.517393171418904,7.9603236291488395
121,Фрунзенский,54900,10.91326863,1177,2,46.66,3.842887267,27.01,3.296207168,9.11,2.209372711,1,0,1984,"Лынькова, 109-2",27.4697,53.928238,6687,Спортивная,2329,8.80792062205398,7.753194269884341
122,Первомайский,131000,11.7829526,1650,1,79.4,4.374498368,27.7,3.321432413,17.1,2.839078464,0,1,2009,"пр-т Независимости, 85 - Б",27.604546,53.925147,3777,Академия наук,495,8.236685322712457,6.20455776256869
123,Заводской,50000,10.81977828,1064,2,47,3.850147602,28,3.33220451,7.2,1.974081026,0,0,1990,"Селицкого, 93",27.703603,53.842757,11401,Могилёвская,2872,9.34145634983372,7.962763930168115
124,Заводской,50000,10.81977828,1087,2,46,3.828641396,28,3.33220451,6,1.791759469,1,0,1966,"Жилуновича, 23",27.629923,53.873611,5478,Партизанская,195,8.608495349823023,5.272999558563747
125,Заводской,76500,11.24504602,1471,2,52,3.951243719,28,3.33220451,9.33,2.233235015,0,0,1978,"Плеханова, 32-2",27.612083,53.865175,5274,Партизанская,1613,8.570544366913232,7.385851078125209
126,Ленинский,60000,11.00209984,1277,2,47,3.850147602,28,3.33220451,7.2,1.974081026,0,0,1974,"пр-т Рокоссовского, 132",27.606801,53.855224,6000,Партизанская,2691,8.699514748210191,7.897668150726906
127,Ленинский,65900,11.09589372,1402,2,47,3.850147602,28,3.33220451,7,1.945910149,0,0,1980,"пр-т Рокоссовского, 49",27.60239,53.867766,4664,Партизанская,1974,8.447628728030327,7.587817219993427
128,Ленинский,62000,11.03488966,1127,2,55,4.007333185,28,3.33220451,9.5,2.251291799,0,0,1978,"Горовца, 34/2",27.611921,53.867448,5072,Партизанская,1455,8.531490496117062,7.282761179605593
129,Ленинский,52000,10.858999,1209,2,43,3.761200116,28,3.33220451,6,1.791759469,0,0,1960,"Семенова, 24",27.57677,53.870633,3649,Пролетарская,2291,8.202208436436448,7.736743682453495
130,Московский,62000,11.03488966,1319,2,47,3.850147602,28,3.33220451,7,1.945910149,0,0,1979,"пр-т Газ-ты Звезда, 23",27.471955,53.867028,7073,Кунцевщина,4485,8.86403999703599,8.408493774492896
131,Московский,72000,11.1844214,1371,2,52.5,3.96081317,28,3.33220451,9.3,2.2300144,1,0,1987,"Космонавтов, 13/1",27.466735,53.852467,8335,Кунцевщина,6006,9.028218795184895,8.700514248543275
132,Московский,55000,10.91508846,1122,2,49,3.891820298,28,3.33220451,7.5,2.014903021,0,0,1991,"пр-т Газеты Звезда, 56",27.458004,53.858808,8344,Кунцевщина,5251,9.029297996680608,8.566173813637858
133,Октябрьский,54500,10.90595598,1160,2,47,3.850147602,28,3.33220451,7,1.945910149,0,0,1976,"Казинца, 76",27.501869,53.850035,7011,Институт Культуры,4731,8.855235623206967,8.461891875631148
134,Первомайский,53000,10.87804719,1205,2,44,3.784189634,28,3.33220451,6,1.791759469,1,0,2010,"Кнорина, 19",27.61343,53.935866,5032,Московская,1261,8.523572798380277,7.13966033596492
135,Советский,75000,11.22524339,1531,2,49,3.891820298,28,3.33220451,9,2.197224577,0,1,1977,"Логойский тр-т, 19/1",27.611957,53.946371,5895,Московская,2271,8.68185981297147,7.7279755421055585
136,Фрунзенский,70000,11.15625052,1400,2,50,3.912023005,28,3.33220451,10,2.302585093,1,1,1975,"Бельского, 43",27.48277,53.898056,5200,Спортивная,1148,8.556413904569519,7.045776576879511
138,Центральный,50000,10.81977828,1316,2,38,3.63758616,28,3.33220451,5,1.609437912,1,1,1960,"Нововиленская, 24/В",27.540119,53.933375,3738,Фрунзенская,3108,8.226305988015508,8.041734711487537
139,Центральный,60000,11.00209984,1364,2,44,3.784189634,28,3.33220451,6,1.791759469,0,0,1964,"Осипенко, 14",27.551447,53.925884,2711,Немига,2246,7.905072849498666,7.716906135298388
140,Центральный,57000,10.95080655,1163,2,49,3.891820298,28,3.33220451,6,1.791759469,1,0,1965,"Гая, 3",27.557348,53.923763,2406,Площадь Якуба Коласа,1935,7.785720896534624,7.5678626054638825
141,Центральный,175000,12.07254125,3431,2,51,3.931825633,28,3.33220451,8,2.079441542,0,1,1984,"Старовиленская, 16",27.556118,53.909355,872,Немига,426,6.77078942390898,6.054439346269371
144,Заводской,54500,10.90595598,1173,2,46.47,3.838806943,28.2,3.339321978,7.16,1.968509981,0,0,1979,"Герасименко, 27",27.684712,53.881706,8363,Могилёвская,2321,9.031572493381526,7.749753406274437
145,Фрунзенский,73000,11.19821472,1495,2,48.83,3.888344878,28.34,3.344274234,7.2,1.974081026,0,0,1986,"Якубовского, 50",27.447556,53.894384,7536,Кунцевщина,1364,8.927446816256198,7.218176838403408
146,Заводской,54500,10.90595598,1160,2,47,3.850147602,28.5,3.349904087,7.2,1.974081026,1,0,1980,"Герасименко, 1",27.690443,53.871679,9081,Могилёвская,1539,9.113939597689829,7.338888133838879
148,Ленинский,54500,10.90595598,1087,2,50.14,3.914819093,28.56,3.352007137,6.45,1.864080131,1,1,1957,"Маяковского, 158",27.57023,53.865871,4082,Пролетарская,2932,8.31434234336979,7.983440063006542
149,Московский,53500,10.88743693,1173,2,45.6,3.819907717,28.6,3.353406718,5.9,1.774952351,0,0,1963,"Железнодорожная, 126/б",27.503162,53.876212,4814,Институт Культуры,2670,8.479283618343016,7.8898337513942955
151,Первомайский,54000,10.89673933,1227,2,44,3.784189634,28.6,3.353406718,6.2,1.824549292,0,0,1967,"Калиновского, 91",27.638637,53.944696,6889,Восток,1386,8.837681215593197,7.234177179749849
152,Первомайский,54500,10.90595598,1256,2,43.4,3.770459441,28.7,3.356897123,6,1.791759469,1,0,1964,"Кедышко, 12",27.619745,53.929749,4865,Московская,538,8.489821994620105,6.2878585601617845
154,Октябрьский,110000,11.60823564,1957,2,56.2,4.028916757,28.9,3.363841595,10,2.302585093,0,0,2000,"Воронянского, 21",27.551096,53.878102,2777,Институт Культуры,1130,7.9291264873067995,7.029972911706386
156,Московский,54000,10.89673933,1256,2,43,3.761200116,29,3.36729583,5.6,1.722766598,0,1,2005,"Волоха, 15",27.518631,53.896299,2908,Молодёжная,1183,7.97522083865341,7.075808863978387
157,Октябрьский,53500,10.88743693,1244,2,43.01,3.761432647,29,3.36729583,6,1.791759469,1,1,1960,"пер. Вузовский, 16",27.561391,53.882364,2213,Первомайская,1416,7.70210434005105,7.255591274253665
158,Партизанский,54900,10.91326863,1274,2,43.1,3.763522997,29,3.36729583,6,1.791759469,0,1,1965,"пер. Козлова, 22",27.598644,53.900236,2418,Пролетарская,1341,7.790696031174738,7.201170883281678
159,Первомайский,63000,11.05089001,1432,2,44,3.784189634,29,3.36729583,6,1.791759469,0,0,1968,"Калиновского, 18",27.635933,53.94237,6583,Восток,1315,8.792245847467877,7.181591944611865
160,Первомайский,87000,11.3736634,1445,2,60.2,4.097672352,29,3.36729583,9.5,2.251291799,0,1,2001,"50 лет Победы, 11",27.715515,53.947632,11247,Уручье,1835,9.327856705404022,7.51479976048867
161,Фрунзенский,68000,11.12726298,1360,2,50,3.912023005,29,3.36729583,9,2.197224577,0,0,1980,"Дунина-Марцинкевича, 4/2",27.487603,53.905955,4879,Спортивная,519,8.492695559815838,6.251903883165888
162,Центральный,110000,11.60823564,2000,2,55,4.007333185,29,3.36729583,8.5,2.140066163,0,0,2001,"Тимирязева, 86",27.484226,53.931689,6042,Спортивная,2607,8.706490361946617,7.865955413933502
